                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                0.75031,                0.38397,                0.94865,                      1,                0.99525,                  0.995,                0.88336,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     96,                0.75468,                0.39171,                 0.9551,                0.99532,                0.99866,                  0.995,                0.88004,                      0,                    inf,                      0,              0.0052975,              0.0052975,              0.0052975
                     97,                 0.7442,                0.38663,                0.95506,                0.99924,                      1,                  0.995,                0.87808,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     98,                0.72652,                0.38308,                0.94409,                0.99939,                0.99531,                  0.995,                0.88008,                      0,                    inf,                      0,              0.0051985,              0.0051985,              0.0051985
                     99,                0.72651,                0.37162,                  0.948,                0.99532,                0.99865,                  0.995,                0.88803,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                    100,                0.73827,                0.38021,                0.94889,                      1,                0.99961,                  0.995,                0.88743,                      0,                    inf,                      0,              0.0050995,              0.0050995,              0.0050995
                    101,                0.74008,                 0.3778,                0.94939,                0.99532,                0.99928,                0.99495,                0.87858,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                    102,                0.73398,                0.37856,                0.95048,                      1,                0.98746,                  0.995,                0.88111,                      0,                    inf,                      0,              0.0050005,              0.0050005,              0.0050005
                    103,                0.74297,                0.37364,                0.95442,                 0.9992,                      1,                  0.995,                0.87431,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                    104,                0.72972,                0.38115,                 0.9512,                0.99931,                      1,                  0.995,                0.88149,                      0,                    inf,                      0,              0.0049015,              0.0049015,              0.0049015
                    105,                0.72609,                0.37251,                  0.946,                0.99532,                0.99911,                  0.995,                0.88163,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                    106,                0.72954,                0.37855,                0.94879,                0.99779,                0.99531,                  0.995,                0.89203,                      0,                    inf,                      0,              0.0048025,              0.0048025,              0.0048025
                    107,                0.70847,                0.36901,                0.94078,                0.99383,                      1,                0.99495,                0.87859,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
